DATA;PM10;co;no2;Coletor
18/09/1997;50,922;2,4967;77,163;José Silveira
19/09/1997;58,824;2,4567;120,113;José Silveira
20/09/1997;49,925;2,7367;137,544;José Silveira
21/09/1997;26,588;2,824;78,437;José Silveira
22/09/1997;31,229;2,556;74,465;José Silveira
23/09/1997;51,678;2,866;104,32;José Silveira
24/09/1997;65,747;4,2;148,682;José Silveira
25/09/1997;63,89;3,99;144,078;José Silveira
26/09/1997;30,816;2,66;75,146;José Silveira
27/09/1997;31,636;2,4217;62,04;José Silveira
28/09/1997;43,714;2,9633;99,775;José Silveira
29/09/1997;50,599;3,6467;189,3;José Silveira
30/09/1997;42,955;2,8333;114,677;José Silveira
01/10/1997;50,017;4,894;137,082;José Silveira
02/10/1997;38,517;3,685;91,3;José Silveira
03/10/1997;31,633;1,9786;69,593;José Silveira
04/10/1997;53,426;2,6257;111,988;José Silveira
05/10/1997;60,812;3,0029;99,533;José Silveira
06/10/1997;47,041;3,44;88,19;José Silveira
07/10/1997;33,326;2,0686;64,242;José Silveira
08/10/1997;36,52;2,6257;69,013;José Silveira
09/10/1997;64,078;3,8643;138,105;José Silveira
10/10/1997;91,945;5,4971;199,203;Carlos F.
11/10/1997;63,475;4,7829;113,353;Carlos F.
12/10/1997;73,376;2,7786;94,92;Carlos F.
13/10/1997;74,875;3,2214;202,022;Carlos F.
14/10/1997;60,325;2,4114;111,342;Carlos F.
15/10/1997;74,832;3,7914;152,23;Carlos F.
16/10/1997;51,412;3,5243;93,893;Carlos F.
17/10/1997;39,619;2,0986;59,603;Carlos F.
18/10/1997;33,381;1,6657;51,217;Carlos F.
19/10/1997;39,523;1,4371;57,307;Carlos F.
20/10/1997;35,556;2,8871;66,313;Carlos F.
21/10/1997;48,199;5,2043;95,498;Carlos F.
22/10/1997;40,562;5,2657;64,8;Carlos F.
23/10/1997;34,541;2,0857;69,928;Carlos F.
24/10/1997;53,411;3,8814;122,685;Carlos F.
25/10/1997;73,364;3,9043;125,353;Carlos F.
26/10/1997;43,218;2,5129;75,077;Carlos F.
27/10/1997;53,001;2,2086;101,19;Carlos F.
28/10/1997;69,322;4,6686;175,943;Carlos F.
29/10/1997;81,587;5,0629;163,917;Carlos F.
30/10/1997;51,601;2,5729;105,775;Carlos F.
31/10/1997;61,688;3,1586;136,287;Carlos F.
01/11/1997;63,134;3,5986;99,568;Carlos F.
02/11/1997;42,499;3,2343;89,945;Carlos F.
03/11/1997;51,655;3,8443;134,368;Carlos F.
04/11/1997;37,531;2,07;65,298;Carlos F.
05/11/1997;47,737;2,2971;68,137;Olemir H.
06/11/1997;67,961;3,8643;156,458;Patrícia M.
07/11/1997;63,308;3,8257;143,658;Carlos F.
08/11/1997;43,653;2,815;77,992;Olemir H.
09/11/1997;50,565;2,155;78,028;Olemir H.
10/11/1997;99,133;3,435;167,342;Carlos F.
11/11/1997;98,228;5,2917;224,103;José Silveira
12/11/1997;72,944;5,3357;146,037;José Silveira
13/11/1997;79,685;4,17;117,792;José Silveira
14/11/1997;48,871;4,0683;88,13;Olemir H.
15/11/1997;26,877;1,8517;58,676;José Silveira
16/11/1997;37,922;2,3433;83,636;Olemir H.
17/11/1997;50,927;4,3083;183,09;José Silveira
18/11/1997;37,668;4,4867;95,068;Olemir H.
19/11/1997;32,051;2,4783;66,38;José Silveira
20/11/1997;43,319;2,605;85,475;Olemir H.
21/11/1997;54,37;3,9471;111,02;Olemir H.
22/11/1997;47,938;3,5571;88,157;Olemir H.
23/11/1997;46,672;2,7686;77,74;Olemir H.
24/11/1997;40,365;3,8114;102,698;Olemir H.
25/11/1997;38,898;2,32;72,878;Olemir H.
26/11/1997;42,872;2,8729;67,478;Olemir H.
27/11/1997;45,472;3,6771;75,42;Olemir H.
28/11/1997;37,075;3,3367;80,65;Olemir H.
29/11/1997;43,873;2,1383;54,356;Olemir H.
30/11/1997;39,691;1,6017;57,72;Olemir H.
01/12/1997;52,262;4,2567;93,342;Olemir H.
02/12/1997;40,948;4,205;71,336;Olemir H.
03/12/1997;53,832;3,74;91,714;Olemir H.
04/12/1997;61,694;4,6043;112,36;Olemir H.
05/12/1997;65,241;3,9471;202,098;Olemir H.
06/12/1997;64,922;3,2186;87,69;Carlos F.
07/12/1997;46,218;2,3843;79,782;Carlos F.
08/12/1997;48,568;3,0114;81,822;Carlos F.
09/12/1997;58,278;2,7043;141,91;Carlos F.
10/12/1997;51,662;2,3886;116,327;Carlos F.
11/12/1997;59,873;2,32;108,252;Carlos F.
12/12/1997;67,465;3,2071;129,45;Carlos F.
13/12/1997;47,408;3,8157;85,002;Carlos F.
14/12/1997;32,588;3,2986;54,388;Carlos F.
15/12/1997;35,633;3,3;66,273;Carlos F.
16/12/1997;49,994;3,2729;110,117;Carlos F.
17/12/1997;35,432;1,8714;55,46;Carlos F.
18/12/1997;44,781;2,9071;92,12;Carlos F.
19/12/1997;45,595;3,5743;102,803;Carlos F.
20/12/1997;41,559;3,58;72,948;Carlos F.
21/12/1997;37,005;3,2033;69,305;Carlos F.
22/12/1997;52,238;3,9433;117,145;Carlos F.
23/12/1997;50,731;3,8229;85,687;Carlos F.
24/12/1997;54,308;3,4229;148,45;Carlos F.
25/12/1997;40,713;1,56;55,442;Carlos F.
26/12/1997;46,513;2,2143;84,23;Carlos F.
27/12/1997;38,002;2,1571;63,95;Patrícia M.
28/12/1997;32,869;1,8914;53,817;Carlos F.
29/12/1997;37,888;2,9;101,205;Olemir H.
30/12/1997;52,08;3,1086;96,364;José Silveira
31/12/1997;40,815;2,6617;102,865;José Silveira
